ImageName,brightness,contrast,colorfulness,color_variety,Class
01.jpg,139.6355,42.8660,0.1780,0.2950,Day
02.jpg,100.1556,46.4589,0.5342,0.0608,Day
03.jpg,123.3078,39.9940,0.4833,0.1894,Day
04.jpg,79.9748,61.6957,0.2114,0.2998,Day
05.jpg,94.4049,60.3152,0.5823,0.0478,Day
06.jpg,16.4051,8.4403,0.5086,0.3193,Night
07.jpg,108.1129,45.3258,0.1003,0.1737,Day
08.jpg,25.6661,40.5000,0.1689,0.3311,Night
09.jpg,9.7322,24.1201,0.0326,0.1995,Night
10.jpg,16.5724,16.3025,0.2051,0.3857,Night
11.jpg,35.5420,35.5521,0.1892,0.2905,Night
12.jpg,9.3810,12.1130,0.2007,0.3683,Night
13.jpg,8.7269,11.5817,0.3707,0.2241,Night
14.jpg,12.6694,14.0165,0.3646,0.3128,Night
15.jpg,14.7480,19.0101,0.4598,0.2703,Night
16.jpg,114.0637,41.1641,0.0697,0.1740,Day
17.jpg,104.5258,59.7980,0.2270,0.2175,Day
18.jpg,147.4305,34.2419,0.0627,0.3434,Day
19.jpg,129.2999,65.1716,0.1719,0.2737,Day
20.jpg,39.9980,50.3397,0.3646,0.2670,Night
